medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
1BEBB9DA42B5CFBC6DEFB78377D896A3,0ABFF7CEB942E8847A7AEFFFAF2BE1B7,CMT,1,N,2013-01-07 06:35:35,2013-01-07 06:38:18,1,163,.50,-73.973495,40.747932,-73.981331,40.746277
CF9E1033F414D0A76A78E8C7D2232441,984F08A50781246ACAD53D99CB5B5F34,CMT,1,N,2013-01-10 09:35:29,2013-01-10 09:53:06,1,1057,2.40,-73.975349,40.759235,-73.989891,40.772846
FF09E0263B7A164FB4B9FEAE38F9207A,2FAB8E183CDB3390E261AC00B87AD64E,CMT,1,N,2013-01-06 21:58:25,2013-01-06 22:05:56,1,451,1.70,-73.983452,40.730106,-74.005653,40.728859
64C2A1C7C51D0EF18930394A3E13564B,06C1CEF86D1A8C013EA400972F814396,CMT,1,N,2013-01-08 15:32:02,2013-01-08 15:38:29,1,386,1.20,-73.973595,40.763821,-73.984016,40.775303
BEB700C77F4D41BD5D4E84F35801C8BD,825722814EA35108504C07CEDB9988F9,CMT,1,N,2013-01-07 13:24:33,2013-01-07 13:32:15,1,461,1.30,-73.966492,40.764729,-73.962173,40.778156
CBD79352F830071878AA3D0CF064EA64,288F7AC30DF60E9A73CFEEE94ECF2899,CMT,1,N,2013-01-10 11:46:34,2013-01-10 12:17:50,1,1875,9.00,-73.984932,40.764111,-73.872955,40.774391
8E9737BE91A1F8A8D399EBE450615F0B,C5A2B6360DF20E428888770D0DCF0062,CMT,1,N,2013-01-10 07:52:28,2013-01-10 08:02:52,3,624,2.00,-73.969604,40.759773,-73.956406,40.784237
FF09E0263B7A164FB4B9FEAE38F9207A,2FAB8E183CDB3390E261AC00B87AD64E,CMT,1,N,2013-01-07 01:59:30,2013-01-07 02:05:33,1,362,1.40,-73.979752,40.782005,-73.980919,40.764622
A61F842796A83E46C02A857D987F3356,314466DCAC0F3733D83F950F39FBC0F2,CMT,1,N,2013-01-07 17:27:10,2013-01-07 17:34:44,1,454,1.60,-73.9757,40.754623,-73.957558,40.768478
FFEC9171E009541071F4CAB49DF113C9,D0D926E845B8E6665D91E4F3EB27BE32,CMT,1,N,2013-01-07 19:22:58,2013-01-07 19:37:30,1,871,4.70,-73.954727,40.765675,-73.906502,40.738888
4D5A4FB75167CB804D91908710C78A36,49E979EF7171FADF8FB0DA792D290198,CMT,1,N,2013-01-10 13:44:34,2013-01-10 13:58:24,2,829,.90,-73.98967,40.747211,-73.987747,40.756474
E9BD4BA555B60370D4B3BD4A242DDA49,773E8CF5D67F0E60469EEAB91C7FBFC8,CMT,1,N,2013-01-08 13:49:17,2013-01-08 14:00:01,1,644,1.50,-73.954643,40.778023,-73.97718,40.789715
595C042803046978D0C427C6CC3E3FD8,9C04813564F295D3020835D09DD64D4D,CMT,1,N,2013-01-10 07:54:11,2013-01-10 08:04:45,1,633,1.10,-73.959824,40.770435,-73.959709,40.761162
E7D97BF2F9DBB34448CCD391EAF15CEF,FDA91544715207DC04156B013637930E,CMT,1,N,2013-01-05 18:22:29,2013-01-05 18:31:22,3,532,1.10,-73.973778,40.755135,-73.973457,40.764496
53718A9FF598B586DFEB9B5C7E59C906,DC5E14A80A50D77E7AFAC9D84DA0EE04,CMT,1,N,2013-01-07 13:50:30,2013-01-07 14:18:41,1,1690,16.60,-73.86396,40.770184,-74.016006,40.715046
4D5A4FB75167CB804D91908710C78A36,49E979EF7171FADF8FB0DA792D290198,CMT,1,N,2013-01-10 12:19:27,2013-01-10 12:41:14,1,1306,2.20,-73.948219,40.773888,-73.972153,40.758514
3461F0C844CCE0E649855083A5200F10,B7FC055EA738679A8DC08D040C50067F,CMT,1,N,2013-01-10 12:31:01,2013-01-10 12:42:33,1,692,1.40,-73.978912,40.77235,-73.979576,40.758266
FFEC9171E009541071F4CAB49DF113C9,D0D926E845B8E6665D91E4F3EB27BE32,CMT,1,N,2013-01-07 16:52:16,2013-01-07 16:56:45,1,269,.50,-73.988808,40.745644,-73.990044,40.738144
DEAF93B08C0847178B5417BD1F61785C,80E4604CCC69FC46772A38098750EC52,CMT,1,N,2013-01-06 02:18:57,2013-01-06 02:28:06,1,548,2.50,-73.957817,40.71463,-73.97905,40.723785
FC25ACBF065AFF0F702B4DC98BB084F5,548077C08728526CF2328F0C4237D000,CMT,1,N,2013-01-08 10:13:06,2013-01-08 10:18:06,2,299,.80,-73.979729,40.771175,-73.972412,40.781456
05E34F66F87028EFF34BA92926546BF3,BC3ACAA04AFAD1B9D783910FF3DBFF4B,CMT,1,N,2013-01-10 09:24:08,2013-01-10 09:29:59,1,351,.90,0,0,0,0
